angle,dx,dy,true_dx,true_dy,response,contrast,entropy,gradient_energy,mean_brightness,median_brightness,sharpness,dynamic_range,snr,motion_magnitude,delta_response,delta_entropy,delta_gradient_energy,delta_sharpness,delta_motion_mag,psnr,ssim,ms_ssim,vif,fsim,deviation_dx,deviation_dy
-1.3,0.012,-0.095,0.0,0.0,0.887,0.107,6.304,0.006,0.595,0.596,3374.54,1.0,14.869,0.096,-0.014,0.002,-0.0,-59.295,0.015,17.788,0.12,0.591,0.081,0.773,-0.012,0.095
-1.2,-0.007,-0.081,0.0,0.0,0.901,0.108,6.302,0.006,0.601,0.604,3433.835,1.0,14.879,0.081,-0.013,-0.012,-0.0,-142.677,-0.006,17.852,0.131,0.613,0.088,0.777,0.007,0.081
-1.1,-0.017,-0.085,0.0,0.0,0.914,0.109,6.315,0.006,0.615,0.62,3576.512,1.0,15.048,0.087,-0.011,-0.008,-0.001,-432.005,-0.005,17.914,0.146,0.642,0.097,0.781,0.017,0.085
-1.0,-0.024,-0.088,0.0,0.0,0.925,0.114,6.322,0.007,0.622,0.627,4008.517,1.0,14.768,0.092,-0.008,0.012,0.0,395.743,-0.009,17.797,0.165,0.672,0.106,0.786,0.024,0.088
-0.9,-0.026,-0.097,0.0,0.0,0.933,0.11,6.311,0.006,0.602,0.604,3612.774,1.0,14.75,0.1,-0.011,0.02,0.0,218.119,0.007,18.114,0.193,0.712,0.12,0.79,0.026,0.097
-0.8,-0.034,-0.087,0.0,0.0,0.944,0.111,6.291,0.006,0.613,0.616,3394.656,1.0,14.87,0.093,-0.007,-0.012,-0.0,-101.799,0.001,18.378,0.231,0.748,0.135,0.795,0.034,0.087
-0.7,-0.036,-0.085,0.0,0.0,0.952,0.11,6.302,0.006,0.606,0.608,3496.455,1.0,14.802,0.092,-0.018,-0.027,-0.0,-307.139,0.02,18.646,0.281,0.786,0.154,0.802,0.036,0.085
-0.6,-0.025,-0.068,0.0,0.0,0.97,0.11,6.329,0.006,0.601,0.604,3803.594,1.0,14.726,0.072,-0.01,-0.005,-0.0,-196.442,0.009,18.969,0.351,0.826,0.179,0.814,0.025,0.068
-0.5,-0.014,-0.062,0.0,0.0,0.979,0.113,6.334,0.007,0.606,0.608,4000.036,1.0,14.621,0.063,-0.01,0.052,0.001,759.446,0.006,19.581,0.454,0.867,0.214,0.831,0.014,0.062
-0.4,-0.011,-0.056,0.0,0.0,0.99,0.11,6.282,0.006,0.613,0.616,3240.589,1.0,14.92,0.057,-0.007,0.011,0.0,166.005,0.024,21.235,0.603,0.911,0.271,0.858,0.011,0.056
-0.3,-0.013,-0.031,0.0,0.0,0.997,0.11,6.271,0.006,0.611,0.616,3074.585,1.0,14.914,0.033,-0.003,-0.053,-0.0,-565.406,0.012,23.709,0.767,0.948,0.356,0.894,0.013,0.031
-0.2,-0.004,-0.021,0.0,0.0,1.0,0.109,6.324,0.006,0.609,0.612,3639.991,1.0,14.908,0.021,-0.001,-0.108,-0.001,-1431.077,0.005,27.276,0.899,0.978,0.486,0.936,0.004,0.021
-0.1,-0.0,-0.016,0.0,0.0,1.001,0.113,6.432,0.007,0.61,0.612,5071.068,1.0,14.647,0.016,0.401,0.117,0.002,2074.662,-0.509,33.288,0.977,0.994,0.677,0.979,0.0,0.016
0.0,0.0,0.0,0.0,0.0,1.0,0.117,6.58,0.009,0.61,0.612,7011.238,1.0,14.341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
0.1,-0.004,0.009,0.0,0.0,1.002,0.114,6.432,0.007,0.619,0.624,5130.778,1.0,14.718,0.01,0.002,-0.148,-0.001,-1880.46,0.01,32.704,0.977,0.994,0.675,0.98,0.004,-0.009
0.2,0.007,0.03,0.0,0.0,0.998,0.108,6.325,0.006,0.632,0.635,3520.676,1.0,15.369,0.031,-0.005,-0.107,-0.001,-1610.102,0.021,26.267,0.896,0.978,0.49,0.937,-0.007,-0.03
0.3,0.008,0.038,0.0,0.0,0.995,0.107,6.272,0.006,0.631,0.635,2941.774,1.0,15.387,0.038,-0.003,-0.053,-0.0,-578.901,0.008,23.329,0.764,0.949,0.359,0.894,-0.008,-0.038
0.4,0.006,0.051,0.0,0.0,0.991,0.109,6.284,0.006,0.618,0.62,3154.557,1.0,15.082,0.051,-0.004,0.012,0.0,212.783,0.012,21.264,0.603,0.911,0.273,0.858,-0.006,-0.051
0.5,0.016,0.064,0.0,0.0,0.981,0.113,6.334,0.007,0.612,0.616,3988.712,1.0,14.7,0.066,-0.011,0.051,0.001,834.155,0.015,19.598,0.455,0.866,0.214,0.831,-0.016,-0.064
0.6,0.029,0.076,0.0,0.0,0.972,0.11,6.329,0.006,0.604,0.608,3743.989,1.0,14.809,0.081,-0.009,-0.006,-0.0,-244.723,0.015,19.014,0.352,0.824,0.18,0.814,-0.029,-0.076
0.7,0.033,0.086,0.0,0.0,0.955,0.11,6.303,0.006,0.614,0.616,3444.136,1.0,14.956,0.092,-0.016,-0.025,-0.0,-299.852,0.011,18.678,0.282,0.785,0.154,0.803,-0.033,-0.086
