angle,dx,dy,true_dx,true_dy,response,contrast,entropy,gradient_energy,mean_brightness,sharpness,snr,median_brightness,psnr,ssim,ms_ssim,vif,fsim,deviation_dx,deviation_dy
0.55,-0.065,0.229,0.0,0.0,0.967,0.154,7.224,0.005,0.451,1263.062,9.341,0.439,21.672,0.666,0.92,0.274,0.837,0.065,-0.229
0.6,-0.08,0.25,0.0,0.0,0.962,0.155,7.221,0.005,0.454,1227.395,9.355,0.443,21.249,0.642,0.909,0.257,0.826,0.08,-0.25
0.65,-0.08,0.273,0.0,0.0,0.957,0.156,7.22,0.005,0.458,1205.076,9.367,0.447,20.841,0.617,0.898,0.24,0.816,0.08,-0.273
0.7,-0.088,0.299,0.0,0.0,0.951,0.154,7.219,0.005,0.454,1167.628,9.372,0.443,20.562,0.593,0.887,0.227,0.807,0.088,-0.299
0.75,-0.084,0.319,0.0,0.0,0.942,0.155,7.22,0.005,0.454,1196.998,9.367,0.443,20.225,0.568,0.875,0.214,0.798,0.084,-0.319
0.8,-0.04,0.442,0.0,0.0,0.921,0.154,7.223,0.005,0.452,1239.088,9.353,0.439,19.922,0.543,0.863,0.202,0.789,0.04,-0.442
0.85,-0.049,0.481,0.0,0.0,0.913,0.154,7.224,0.005,0.451,1244.838,9.35,0.439,19.669,0.522,0.851,0.191,0.782,0.049,-0.481
0.9,-0.038,0.519,0.0,0.0,0.91,0.154,7.224,0.005,0.452,1239.874,9.353,0.439,19.416,0.503,0.839,0.18,0.776,0.038,-0.519
0.95,-0.03,0.569,0.0,0.0,0.905,0.155,7.222,0.005,0.456,1243.088,9.353,0.443,19.155,0.485,0.827,0.171,0.769,0.03,-0.569
1.0,-0.022,0.609,0.0,0.0,0.898,0.155,7.22,0.005,0.454,1210.098,9.359,0.443,18.988,0.469,0.816,0.164,0.764,0.022,-0.609
1.05,-0.001,0.656,0.0,0.0,0.89,0.155,7.218,0.005,0.456,1203.844,9.363,0.443,18.792,0.453,0.805,0.156,0.759,0.001,-0.656
1.1,0.01,0.69,0.0,0.0,0.882,0.155,7.216,0.005,0.456,1202.746,9.362,0.443,18.62,0.438,0.794,0.149,0.755,-0.01,-0.69
1.15,0.02,0.736,0.0,0.0,0.873,0.157,7.217,0.006,0.462,1265.442,9.354,0.451,18.364,0.422,0.782,0.142,0.75,-0.02,-0.736
1.2,-0.048,1.087,0.0,0.0,0.757,0.157,7.219,0.006,0.46,1277.867,9.35,0.447,18.233,0.407,0.771,0.136,0.746,0.048,-1.087
1.25,-0.04,1.128,0.0,0.0,0.744,0.155,7.219,0.005,0.456,1250.436,9.35,0.443,18.147,0.394,0.76,0.131,0.742,0.04,-1.128
1.3,-0.038,1.183,0.0,0.0,0.735,0.153,7.22,0.005,0.45,1206.112,9.355,0.439,18.08,0.383,0.75,0.126,0.738,0.038,-1.183
1.35,-0.043,1.215,0.0,0.0,0.722,0.154,7.219,0.005,0.452,1193.147,9.36,0.439,17.947,0.372,0.739,0.121,0.735,0.043,-1.215
1.4,-0.035,1.274,0.0,0.0,0.709,0.155,7.219,0.005,0.456,1200.441,9.36,0.443,17.793,0.361,0.729,0.116,0.732,0.035,-1.274
1.45,-0.034,1.327,0.0,0.0,0.7,0.154,7.218,0.005,0.454,1196.897,9.36,0.443,17.702,0.351,0.719,0.112,0.729,0.034,-1.327
1.5,-0.046,1.365,0.0,0.0,0.683,0.155,7.218,0.005,0.456,1221.91,9.356,0.443,17.572,0.341,0.709,0.108,0.726,0.046,-1.365
1.55,-0.038,1.406,0.0,0.0,0.673,0.153,7.22,0.005,0.45,1220.166,9.35,0.439,17.521,0.331,0.701,0.105,0.724,0.038,-1.406
1.6,-0.043,1.465,0.0,0.0,0.661,0.155,7.22,0.005,0.454,1256.053,9.348,0.443,17.385,0.322,0.691,0.101,0.721,0.043,-1.465
1.65,-0.04,1.541,0.0,0.0,0.653,0.155,7.22,0.005,0.456,1250.239,9.347,0.443,17.276,0.314,0.682,0.098,0.718,0.04,-1.541
1.7,-0.054,1.596,0.0,0.0,0.643,0.155,7.219,0.005,0.454,1219.029,9.354,0.443,17.215,0.306,0.673,0.094,0.716,0.054,-1.596
1.75,-0.066,1.668,0.0,0.0,0.637,0.154,7.218,0.005,0.454,1196.429,9.357,0.443,17.139,0.298,0.665,0.091,0.715,0.066,-1.668
1.8,-0.056,1.74,0.0,0.0,0.624,0.156,7.217,0.005,0.457,1201.133,9.36,0.447,17.021,0.291,0.656,0.088,0.712,0.056,-1.74
1.85,-0.084,1.806,0.0,0.0,0.615,0.154,7.217,0.005,0.454,1187.082,9.358,0.443,16.988,0.285,0.648,0.086,0.71,0.084,-1.806
1.9,-0.081,1.871,0.0,0.0,0.612,0.154,7.218,0.005,0.452,1198.337,9.353,0.439,16.93,0.278,0.64,0.084,0.708,0.081,-1.871
1.95,-0.108,1.926,0.0,0.0,0.608,0.154,7.219,0.005,0.452,1224.977,9.346,0.439,16.855,0.272,0.632,0.081,0.706,0.108,-1.926
2.0,-0.166,2.422,0.0,0.0,0.52,0.155,7.22,0.005,0.455,1256.553,9.342,0.443,16.747,0.265,0.624,0.079,0.705,0.166,-2.422
2.05,-0.148,2.469,0.0,0.0,0.519,0.156,7.218,0.005,0.457,1262.875,9.346,0.447,16.665,0.26,0.616,0.076,0.703,0.148,-2.469
2.1,-0.166,2.503,0.0,0.0,0.519,0.155,7.216,0.005,0.453,1226.083,9.349,0.443,16.653,0.257,0.61,0.075,0.701,0.166,-2.503
2.15,-0.16,2.557,0.0,0.0,0.519,0.154,7.216,0.005,0.451,1194.483,9.355,0.439,16.62,0.252,0.602,0.073,0.7,0.16,-2.557
2.2,-0.653,2.678,0.0,0.0,0.514,0.153,7.215,0.005,0.45,1176.48,9.356,0.439,16.583,0.247,0.595,0.071,0.698,0.653,-2.678
2.25,-0.665,2.726,0.0,0.0,0.5,0.154,7.216,0.005,0.453,1196.708,9.355,0.443,16.493,0.244,0.588,0.069,0.697,0.665,-2.726
2.3,-0.656,2.773,0.0,0.0,0.49,0.154,7.216,0.005,0.453,1207.216,9.351,0.443,16.438,0.239,0.581,0.067,0.696,0.656,-2.773
2.35,-0.67,2.842,0.0,0.0,0.491,0.153,7.217,0.005,0.449,1205.745,9.344,0.439,16.417,0.235,0.575,0.066,0.694,0.67,-2.842
2.4,-0.675,2.902,0.0,0.0,0.483,0.153,7.217,0.005,0.448,1200.224,9.342,0.435,16.381,0.232,0.569,0.065,0.693,0.675,-2.902
2.45,-0.672,2.94,0.0,0.0,0.478,0.154,7.217,0.005,0.451,1218.709,9.345,0.439,16.302,0.228,0.562,0.063,0.692,0.672,-2.94
2.5,-0.686,2.994,0.0,0.0,0.475,0.155,7.217,0.005,0.455,1231.419,9.344,0.443,16.218,0.224,0.555,0.061,0.691,0.686,-2.994
2.55,-0.722,3.053,0.0,0.0,0.47,0.154,7.216,0.005,0.451,1202.114,9.35,0.439,16.215,0.222,0.55,0.06,0.69,0.722,-3.053
2.6,-0.71,3.09,0.0,0.0,0.462,0.155,7.216,0.005,0.455,1217.73,9.348,0.443,16.131,0.218,0.543,0.058,0.689,0.71,-3.09
2.65,-0.735,3.126,0.0,0.0,0.457,0.155,7.216,0.005,0.455,1216.473,9.349,0.443,16.088,0.215,0.537,0.057,0.688,0.735,-3.126
2.7,-0.268,3.055,0.0,0.0,0.458,0.154,7.217,0.005,0.453,1215.224,9.35,0.443,16.062,0.213,0.532,0.056,0.687,0.268,-3.055
2.75,-0.778,3.214,0.0,0.0,0.448,0.155,7.217,0.005,0.455,1229.96,9.346,0.443,15.999,0.209,0.526,0.055,0.686,0.778,-3.214
2.8,-0.571,3.601,0.0,0.0,0.43,0.155,7.218,0.005,0.455,1236.034,9.345,0.443,15.955,0.206,0.521,0.054,0.685,0.571,-3.601
2.85,-0.585,3.669,0.0,0.0,0.429,0.154,7.218,0.005,0.453,1224.02,9.346,0.443,15.934,0.204,0.516,0.053,0.684,0.585,-3.669
2.9,-0.625,3.709,0.0,0.0,0.427,0.154,7.216,0.005,0.451,1206.613,9.349,0.439,15.914,0.202,0.511,0.052,0.683,0.625,-3.709
2.95,-0.646,3.739,0.0,0.0,0.422,0.156,7.216,0.005,0.457,1233.745,9.349,0.447,15.819,0.2,0.505,0.051,0.683,0.646,-3.739
3.0,-0.681,3.797,0.0,0.0,0.425,0.155,7.215,0.005,0.455,1223.358,9.347,0.443,15.802,0.198,0.5,0.05,0.682,0.681,-3.797
-3.0,2.495,0.04,0.0,0.0,0.268,0.056,4.265,0.001,0.689,476.594,21.845,0.69,24.101,0.304,0.574,0.03,0.743,-2.495,-0.04
-2.95,-0.118,-0.802,0.0,0.0,0.309,0.057,4.267,0.002,0.63,503.586,20.876,0.631,22.752,0.298,0.569,0.03,0.741,0.118,0.802
-2.9,-0.041,-0.819,0.0,0.0,0.309,0.057,4.268,0.002,0.665,503.719,21.352,0.667,24.318,0.299,0.571,0.031,0.741,0.041,0.819
-2.85,-0.021,-0.892,0.0,0.0,0.317,0.055,4.269,0.001,0.692,478.23,22.004,0.694,24.026,0.306,0.582,0.032,0.745,0.021,0.892
-2.8,0.055,-0.834,0.0,0.0,0.322,0.053,4.27,0.001,0.684,439.328,22.292,0.686,24.605,0.315,0.596,0.034,0.75,-0.055,0.834
-2.75,0.098,-0.879,0.0,0.0,0.334,0.047,4.272,0.001,0.691,344.521,23.436,0.694,24.861,0.341,0.626,0.037,0.759,-0.098,0.879
-2.7,0.119,-0.916,0.0,0.0,0.352,0.043,4.27,0.001,0.698,290.944,24.229,0.698,24.728,0.358,0.644,0.039,0.764,-0.119,0.916
-2.65,0.114,-0.846,0.0,0.0,0.363,0.045,4.268,0.001,0.622,318.698,22.723,0.624,22.909,0.342,0.633,0.038,0.762,-0.114,0.846
-2.6,0.161,-0.862,0.0,0.0,0.384,0.053,4.267,0.001,0.604,424.564,21.128,0.604,21.079,0.307,0.596,0.036,0.751,-0.161,0.862
-2.55,0.19,-0.872,0.0,0.0,0.391,0.056,4.265,0.001,0.638,477.352,21.065,0.639,23.313,0.292,0.581,0.036,0.747,-0.19,0.872
-2.5,0.221,-0.803,0.0,0.0,0.391,0.052,4.265,0.001,0.644,404.557,21.92,0.647,24.095,0.314,0.609,0.038,0.755,-0.221,0.803
-2.45,0.241,-0.81,0.0,0.0,0.41,0.052,4.268,0.001,0.676,413.808,22.322,0.678,24.894,0.313,0.61,0.039,0.756,-0.241,0.81
-2.4,0.218,-0.819,0.0,0.0,0.417,0.052,4.27,0.001,0.665,421.478,22.172,0.667,24.897,0.313,0.612,0.04,0.756,-0.218,0.819
-2.35,0.246,-0.838,0.0,0.0,0.417,0.047,4.27,0.001,0.666,356.954,22.93,0.667,25.372,0.332,0.635,0.043,0.764,-0.246,0.838
-2.3,1.635,-0.021,0.0,0.0,0.402,0.046,4.268,0.001,0.678,329.996,23.463,0.678,25.537,0.342,0.647,0.045,0.768,-1.635,0.021
-2.25,1.572,-0.03,0.0,0.0,0.409,0.05,4.267,0.001,0.617,394.156,21.847,0.62,22.317,0.319,0.627,0.044,0.763,-1.572,0.03
-2.2,0.288,-0.677,0.0,0.0,0.466,0.053,4.268,0.001,0.636,444.901,21.575,0.639,23.516,0.307,0.616,0.044,0.758,-0.288,0.677
-2.15,1.556,-0.047,0.0,0.0,0.425,0.051,4.268,0.001,0.609,406.005,21.604,0.612,21.653,0.317,0.631,0.047,0.763,-1.556,0.047
-2.1,1.614,-0.083,0.0,0.0,0.44,0.051,4.269,0.001,0.599,405.733,21.445,0.6,20.85,0.318,0.635,0.048,0.764,-1.614,0.083
-2.05,1.59,-0.087,0.0,0.0,0.44,0.053,4.27,0.001,0.629,439.04,21.559,0.631,23.081,0.314,0.631,0.049,0.762,-1.59,0.087
-2.0,1.577,-0.084,0.0,0.0,0.452,0.051,4.273,0.001,0.662,414.572,22.242,0.663,24.993,0.324,0.643,0.051,0.766,-1.577,0.084
-1.95,1.532,-0.113,0.0,0.0,0.464,0.058,4.27,0.002,0.661,528.652,21.144,0.663,24.264,0.299,0.616,0.049,0.753,-1.532,0.113
-1.9,1.502,-0.126,0.0,0.0,0.482,0.057,4.267,0.002,0.708,492.738,21.94,0.71,23.052,0.306,0.625,0.052,0.758,-1.502,0.126
-1.85,0.666,-0.712,0.0,0.0,0.565,0.052,4.27,0.001,0.765,414.86,23.43,0.765,19.234,0.329,0.655,0.056,0.77,-0.666,0.712
-1.8,0.627,-0.697,0.0,0.0,0.592,0.055,4.269,0.001,0.746,490.844,22.592,0.749,20.429,0.317,0.643,0.056,0.763,-0.627,0.697
-1.75,0.185,-0.719,0.0,0.0,0.624,0.056,4.27,0.001,0.689,500.984,21.793,0.69,24.282,0.32,0.645,0.057,0.764,-0.185,0.719
-1.7,0.618,-0.645,0.0,0.0,0.605,0.052,4.272,0.001,0.665,440.165,22.148,0.667,25.131,0.344,0.672,0.062,0.773,-0.618,0.645
-1.65,0.627,-0.617,0.0,0.0,0.625,0.051,4.274,0.001,0.645,419.833,22.072,0.647,24.445,0.354,0.683,0.065,0.777,-0.627,0.617
-1.6,0.157,-0.644,0.0,0.0,0.671,0.047,4.275,0.001,0.63,362.027,22.523,0.631,23.663,0.376,0.705,0.071,0.784,-0.157,0.644
-1.55,0.576,-0.605,0.0,0.0,0.66,0.052,4.273,0.001,0.601,427.736,21.243,0.604,21.099,0.359,0.689,0.07,0.778,-0.576,0.605
-1.5,0.555,-0.534,0.0,0.0,0.666,0.056,4.266,0.001,0.603,477.337,20.59,0.604,21.049,0.347,0.677,0.069,0.771,-0.555,0.534
-1.45,0.634,-0.165,0.0,0.0,0.723,0.06,4.264,0.002,0.636,534.041,20.516,0.639,23.253,0.341,0.667,0.07,0.765,-0.634,0.165
-1.4,0.623,-0.174,0.0,0.0,0.731,0.06,4.266,0.002,0.686,542.216,21.152,0.686,24.262,0.351,0.676,0.073,0.767,-0.623,0.174
-1.35,0.585,-0.16,0.0,0.0,0.742,0.052,4.269,0.001,0.698,420.415,22.581,0.698,24.516,0.393,0.721,0.082,0.787,-0.585,0.16
-1.3,0.547,-0.164,0.0,0.0,0.758,0.049,4.273,0.001,0.699,378.191,23.164,0.698,24.763,0.417,0.743,0.089,0.796,-0.547,0.164
-1.25,0.474,-0.135,0.0,0.0,0.772,0.045,4.277,0.001,0.647,334.681,23.132,0.647,25.455,0.441,0.765,0.098,0.803,-0.474,0.135
-1.2,0.426,-0.151,0.0,0.0,0.788,0.047,4.277,0.001,0.614,365.272,22.344,0.616,22.575,0.443,0.767,0.101,0.803,-0.426,0.151
-1.15,0.388,-0.131,0.0,0.0,0.799,0.05,4.275,0.001,0.607,409.285,21.651,0.608,21.839,0.442,0.764,0.102,0.8,-0.388,0.131
-1.1,0.357,-0.114,0.0,0.0,0.808,0.051,4.268,0.001,0.626,417.37,21.712,0.627,23.467,0.45,0.768,0.106,0.802,-0.357,0.114
-1.05,-0.027,-0.137,0.0,0.0,0.889,0.05,4.269,0.001,0.607,383.812,21.707,0.608,21.929,0.467,0.782,0.113,0.807,0.027,0.137
-1.0,-0.036,-0.131,0.0,0.0,0.901,0.053,4.271,0.001,0.64,424.705,21.721,0.643,24.667,0.473,0.783,0.116,0.804,0.036,0.131
-0.95,-0.024,-0.119,0.0,0.0,0.903,0.053,4.275,0.001,0.662,434.714,21.991,0.663,25.983,0.488,0.794,0.124,0.808,0.024,0.119
-0.9,-0.03,-0.11,0.0,0.0,0.909,0.048,4.278,0.001,0.702,371.922,23.312,0.702,25.121,0.524,0.822,0.138,0.821,0.03,0.11
