angle,dx,dy,true_dx,true_dy,response,contrast,entropy,gradient_energy,mean_brightness,median_brightness,sharpness,dynamic_range,snr,motion_magnitude,delta_response,delta_entropy,delta_gradient_energy,delta_sharpness,delta_motion_mag,psnr,ssim,ms_ssim,vif,fsim,deviation_dx,deviation_dy
0.0,-7.001,-9.982,-7.0,-10.0,0.95,0.151,7.181,0.008,0.434,0.427,2909.681,1.0,9.182,12.193,-0.014,-0.065,-0.0,-93.641,2.977,14.193,0.11,0.175,0.013,0.661,0.001,-0.018
0.0,-6.996,-1.989,-7.0,-2.0,0.971,0.155,7.216,0.008,0.438,0.435,2935.596,1.0,9.025,7.274,0.021,0.035,0.0,25.915,-4.919,14.862,0.104,0.29,0.013,0.657,-0.004,-0.011
0.0,-7.002,-6.99,-7.0,-7.0,0.961,0.153,7.197,0.008,0.437,0.431,2952.077,1.0,9.112,9.894,-0.01,-0.019,-0.0,16.481,2.62,14.391,0.094,0.205,0.011,0.656,0.002,-0.01
0.0,-7.002,-7.981,-7.0,-8.0,0.959,0.153,7.191,0.008,0.439,0.435,2959.364,1.0,9.135,10.617,-0.002,-0.006,0.0,7.287,0.724,14.308,0.1,0.195,0.011,0.658,0.002,-0.019
0.0,-9.001,-0.005,-9.0,0.0,0.963,0.156,7.216,0.008,0.44,0.435,2961.705,1.0,9.041,9.001,0.004,0.025,0.0,2.341,-1.616,14.543,0.101,0.233,0.013,0.653,0.001,0.005
0.0,-8.999,-1.998,-9.0,-2.0,0.962,0.155,7.21,0.008,0.439,0.435,2940.796,1.0,9.061,9.218,-0.002,-0.005,-0.0,-20.909,0.217,14.449,0.091,0.209,0.01,0.649,-0.001,-0.002
0.0,-8.999,-2.99,-9.0,-3.0,0.961,0.155,7.207,0.008,0.441,0.435,2976.074,1.0,9.07,9.483,-0.001,-0.003,0.0,35.278,0.265,14.41,0.089,0.196,0.009,0.649,-0.001,-0.01
0.0,-8.997,9.996,-9.0,10.0,0.945,0.159,7.244,0.008,0.447,0.447,2996.728,1.0,8.951,13.449,-0.016,0.037,0.0,20.653,3.966,13.884,0.076,0.079,0.005,0.635,-0.003,0.004
0.0,-9.0,3.999,-9.0,4.0,0.959,0.158,7.229,0.008,0.444,0.439,2976.612,1.0,8.995,9.849,0.014,-0.015,-0.0,-20.116,-3.6,14.503,0.113,0.214,0.013,0.65,-0.0,0.001
0.0,-8.994,5.0,-9.0,5.0,0.958,0.158,7.232,0.008,0.444,0.443,2982.083,1.0,8.983,10.291,-0.001,0.003,0.0,5.472,0.442,14.395,0.105,0.196,0.011,0.646,-0.006,0.0
0.0,10.009,-5.009,10.0,-5.0,0.967,0.159,7.247,0.008,0.444,0.443,3018.14,1.0,8.941,11.192,0.009,0.015,0.0,36.057,0.902,14.307,0.107,0.194,0.012,0.645,-0.009,0.009
0.0,10.001,-8.001,10.0,-8.0,0.965,0.156,7.233,0.008,0.44,0.435,2986.623,1.0,9.006,12.808,-0.002,-0.014,-0.0,-31.517,1.616,14.054,0.089,0.131,0.008,0.638,-0.001,0.001
0.0,10.003,7.982,10.0,8.0,0.946,0.163,7.293,0.008,0.449,0.447,3007.177,1.0,8.801,12.797,-0.019,0.06,0.0,20.554,-0.011,13.933,0.086,0.126,0.008,0.647,-0.003,0.018
0.0,11.004,-2.998,11.0,-3.0,0.962,0.159,7.256,0.008,0.444,0.439,2989.517,1.0,8.916,11.405,0.016,-0.037,-0.0,-17.66,-1.392,14.299,0.103,0.199,0.014,0.646,-0.004,-0.002
0.0,10.994,11.981,11.0,12.0,0.931,0.165,7.303,0.008,0.454,0.455,3028.884,1.0,8.78,16.26,-0.032,0.048,0.0,39.367,4.855,13.583,0.092,0.105,0.008,0.646,0.006,0.019
0.0,12.005,-0.004,12.0,0.0,0.959,0.162,7.27,0.008,0.45,0.447,3039.837,1.0,8.889,12.005,0.028,-0.034,-0.0,10.953,-4.255,14.073,0.084,0.16,0.01,0.641,-0.005,0.004
0.0,12.004,-4.0,12.0,-4.0,0.961,0.16,7.255,0.008,0.446,0.443,3020.193,1.0,8.928,12.653,0.002,-0.015,-0.0,-19.644,0.648,14.152,0.105,0.19,0.013,0.646,-0.004,-0.0
0.0,12.01,-5.994,12.0,-6.0,0.961,0.159,7.247,0.008,0.447,0.443,3033.859,1.0,8.966,13.423,-0.0,-0.008,0.0,13.665,0.77,14.08,0.106,0.175,0.011,0.644,-0.01,-0.006
0.0,12.0,-7.001,12.0,-7.0,0.959,0.159,7.241,0.008,0.448,0.439,3062.376,1.0,8.986,13.893,-0.003,-0.006,0.0,28.517,0.47,14.0,0.099,0.159,0.01,0.64,0.0,0.001
0.0,12.006,9.993,12.0,10.0,0.931,0.165,7.302,0.008,0.456,0.455,3046.27,1.0,8.798,15.62,-0.028,0.061,0.0,-16.106,1.728,13.65,0.091,0.092,0.007,0.648,-0.006,0.007
0.0,12.005,3.991,12.0,4.0,0.951,0.163,7.284,0.008,0.451,0.447,3017.969,1.0,8.841,12.652,0.02,-0.018,-0.0,-28.301,-2.969,13.921,0.083,0.126,0.007,0.639,-0.005,0.009
0.0,12.006,7.985,12.0,8.0,0.937,0.165,7.296,0.008,0.454,0.451,3052.329,1.0,8.806,14.419,-0.014,0.012,0.0,34.361,1.768,13.741,0.086,0.094,0.007,0.641,-0.006,0.015
0.0,13.002,-4.007,13.0,-4.0,0.957,0.16,7.258,0.008,0.447,0.443,3027.057,1.0,8.933,13.605,0.02,-0.038,-0.0,-25.272,-0.814,14.086,0.102,0.183,0.013,0.645,-0.002,0.007
0.0,12.996,-6.996,13.0,-7.0,0.958,0.158,7.243,0.008,0.445,0.443,3016.029,1.0,8.988,14.76,0.002,-0.015,-0.0,-11.028,1.155,14.006,0.102,0.161,0.011,0.64,0.004,-0.004
0.0,13.009,4.988,13.0,5.0,0.944,0.162,7.289,0.008,0.448,0.447,2968.857,1.0,8.837,13.933,-0.014,0.046,0.0,-47.172,-0.827,13.866,0.091,0.108,0.007,0.637,-0.009,0.012
0.0,13.005,7.979,13.0,8.0,0.935,0.166,7.298,0.008,0.457,0.455,3060.205,1.0,8.815,15.258,-0.009,0.009,0.0,91.349,1.325,13.65,0.086,0.08,0.007,0.641,-0.005,0.021
0.0,1.001,-11.987,1.0,-12.0,0.969,0.152,7.192,0.008,0.434,0.427,2929.709,1.0,9.12,12.028,0.034,-0.106,-0.001,-130.496,-3.23,14.138,0.093,0.115,0.008,0.653,-0.001,-0.013
0.0,1.011,0.999,1.0,1.0,0.988,0.159,7.249,0.008,0.443,0.443,3002.28,1.0,8.895,1.422,0.019,0.058,0.0,72.57,-10.607,19.439,0.487,0.854,0.16,0.798,-0.011,0.001
0.0,1.003,7.998,1.0,8.0,0.973,0.162,7.271,0.008,0.448,0.447,3030.319,1.0,8.82,8.061,-0.015,0.022,0.0,28.039,6.639,14.668,0.134,0.292,0.021,0.669,-0.003,0.002
0.0,1.997,-9.986,2.0,-10.0,0.973,0.153,7.203,0.008,0.436,0.431,2958.94,1.0,9.071,10.184,0.0,-0.068,-0.0,-71.378,2.123,14.243,0.082,0.13,0.007,0.652,0.003,-0.014
0.0,2.014,1.001,2.0,1.0,0.986,0.16,7.251,0.008,0.445,0.443,3038.657,1.0,8.883,2.25,0.014,0.048,0.0,79.716,-7.935,17.55,0.318,0.732,0.092,0.734,-0.014,-0.001
0.0,2.009,2.981,2.0,3.0,0.981,0.16,7.259,0.008,0.444,0.443,3010.817,1.0,8.859,3.595,-0.005,0.008,-0.0,-27.839,1.345,16.402,0.237,0.593,0.059,0.714,-0.009,0.019
0.0,2.0,4.987,2.0,5.0,0.978,0.16,7.266,0.008,0.444,0.439,2984.111,1.0,8.834,5.373,-0.003,0.007,-0.0,-26.706,1.778,15.457,0.178,0.457,0.037,0.689,0.0,0.013
0.0,3.008,-1.002,3.0,-1.0,0.984,0.157,7.247,0.008,0.437,0.431,2919.518,1.0,8.891,3.171,0.006,-0.019,-0.0,-64.593,-2.202,17.072,0.269,0.63,0.065,0.714,-0.008,0.002
0.0,2.996,-5.997,3.0,-6.0,0.981,0.154,7.226,0.008,0.433,0.431,2899.132,1.0,8.965,6.703,-0.004,-0.021,-0.0,-20.386,3.532,14.816,0.079,0.246,0.011,0.659,0.004,-0.003
0.0,3.001,-6.992,3.0,-7.0,0.977,0.157,7.221,0.008,0.441,0.435,3013.222,1.0,8.994,7.609,-0.004,-0.005,0.0,114.09,0.906,14.543,0.075,0.197,0.008,0.656,-0.001,-0.008
